service_id,date,exception_type
SIR-FA2018-SI017-Sunday-00,20181122,1
SIR-FA2018-SI017-Sunday-00,20181225,1
SIR-FA2018-SI017-Sunday-00,20190101,1
SIR-FA2017-SI017-Weekday-08,20181122,2
SIR-FA2017-SI017-Weekday-08,20181225,2
SIR-FA2017-SI017-Weekday-08,20190101,2
SIR-FA2017-SI017-Weekday-08,20190218,2
SIR-FA2018-SI017-Saturday-00,20190218,1
